engine,entry_time,exit_time,ret_pct,reason,eq_before,eq_after,dd_after
LITE,2021-01-04T08:15:00+00:00,2021-01-04T10:15:00+00:00,0.06453331436471221,3,10000000.0,10645333.143647121,0.0
LITE,2021-01-05T04:15:00+00:00,2021-01-05T06:15:00+00:00,0.012716128674449045,2,10645333.143647121,10780700.569684114,0.0
CRASH,2021-05-16T19:15:00+00:00,2021-05-16T21:45:00+00:00,0.026977056987729453,2,10780700.569684114,11071532.14332013,0.0
CRASH,2021-05-17T04:15:00+00:00,2021-05-17T05:45:00+00:00,-0.05644033383253244,1,11071532.14332013,10446651.173113529,-0.05644033383253244
CRASH,2021-05-18T13:15:00+00:00,2021-05-19T04:15:00+00:00,0.18042260570998625,3,10446651.173113529,12331463.198709955,0.0
CRASH,2021-05-19T05:45:00+00:00,2021-05-19T12:45:00+00:00,0.22945899417206772,3,12331463.198709955,15161028.34095581,0.0
CRASH,2021-05-21T15:45:00+00:00,2021-05-22T01:15:00+00:00,0.01800167779104722,2,15161028.34095581,15433952.288130632,0.0
CRASH,2021-05-28T05:45:00+00:00,2021-05-28T12:45:00+00:00,0.015266504566035621,2,15433952.288130632,15669574.791209353,0.0
CRASH,2021-05-28T17:15:00+00:00,2021-05-30T07:15:00+00:00,0.01700422272252844,2,15669574.791209353,15936023.730926394,0.0
CRASH,2021-06-05T10:15:00+00:00,2021-06-07T01:45:00+00:00,0.014330185994490652,2,15936023.730926394,16164389.915003186,0.0
CRASH,2021-06-07T21:15:00+00:00,2021-06-08T13:45:00+00:00,0.2978720850080363,3,16164389.915003186,20979310.44186806,0.0
CRASH,2021-06-25T17:45:00+00:00,2021-06-26T10:45:00+00:00,0.04514230237268668,2,20979310.44186806,21926364.817405332,0.0
CRASH,2021-07-01T07:15:00+00:00,2021-07-01T23:45:00+00:00,0.042960328752609245,2,21926364.817405332,22868328.65831071,0.0
CRASH,2021-12-10T15:15:00+00:00,2021-12-10T20:45:00+00:00,0.0431220558171852,2,22868328.65831071,23854458.003160123,0.0
CRASH,2022-01-20T22:15:00+00:00,2022-01-21T02:15:00+00:00,0.3006930157155099,3,23854458.003160123,31027326.91838932,0.0
CRASH,2022-01-21T22:15:00+00:00,2022-01-24T10:45:00+00:00,0.301032783669404,3,31027326.91838932,40367569.51045269,0.0
CRASH,2022-01-27T02:15:00+00:00,2022-01-27T14:15:00+00:00,-0.12432120409759717,2,40367569.51045269,35349024.66241976,-0.12432120409759717
CRASH,2022-02-21T22:15:00+00:00,2022-02-22T10:15:00+00:00,0.024751312598108255,2,35349024.66241976,36223959.42187755,-0.10264700448468178
CRASH,2022-02-24T03:15:00+00:00,2022-02-24T07:45:00+00:00,0.023950541736163178,2,36223959.42187755,37091542.87386031,-0.08115491411352105
CRASH,2022-03-04T01:15:00+00:00,2022-03-04T22:15:00+00:00,0.1534891126289042,3,37091542.87386031,42784690.87560608,0.0
CRASH,2022-05-09T17:15:00+00:00,2022-05-09T19:45:00+00:00,0.04425772834993502,2,42784690.87560608,44678244.1019146,0.0
CRASH,2022-05-10T15:15:00+00:00,2022-05-11T13:45:00+00:00,0.016634069682121222,2,44678244.1019146,45421425.127580665,0.0
CRASH,2022-05-11T16:15:00+00:00,2022-05-14T16:15:00+00:00,0.07108512863628524,4,45421425.127580665,48650212.97561814,0.0
CRASH,2022-05-20T15:15:00+00:00,2022-05-21T07:15:00+00:00,0.04237475765557708,2,48650212.97561814,50711753.96035217,0.0
CRASH,2022-06-13T23:15:00+00:00,2022-06-14T03:45:00+00:00,0.04653576102430712,2,50711753.96035217,53071664.02377458,0.0
CRASH,2022-06-15T04:15:00+00:00,2022-06-15T12:15:00+00:00,0.0037409446816738523,2,53071664.02377458,53270202.1830519,0.0
CRASH,2022-06-16T10:45:00+00:00,2022-06-17T07:15:00+00:00,0.04508293337856828,2,53270202.1830519,55671779.15913329,0.0
CRASH,2022-06-18T07:15:00+00:00,2022-06-18T18:45:00+00:00,0.29779021208908274,3,55671779.15913329,72250290.08230817,0.0
CRASH,2022-06-22T16:15:00+00:00,2022-06-23T09:15:00+00:00,-0.1262313331642425,2,72250290.08230817,63130039.643715166,-0.1262313331642425
CRASH,2022-07-01T04:15:00+00:00,2022-07-04T04:15:00+00:00,0.04837190008417891,4,63130039.643715166,66183759.613671206,-0.08396548251537705
CRASH,2022-08-15T07:15:00+00:00,2022-08-17T05:15:00+00:00,0.02112976898449692,2,66183759.613671206,67582207.16483356,-0.06460988477910179
CRASH,2022-08-26T15:15:00+00:00,2022-08-27T15:15:00+00:00,0.31895361977762193,3,67582207.16483356,89137796.77261837,0.0
CRASH,2022-09-13T13:15:00+00:00,2022-09-13T21:15:00+00:00,0.2973426381746638,3,89137796.77261837,115642264.42606574,0.0
CRASH,2022-09-21T22:15:00+00:00,2022-09-22T08:15:00+00:00,-0.1345663398255612,1,115642264.42606574,100080708.17311037,-0.1345663398255612
CRASH,2022-09-27T17:15:00+00:00,2022-09-28T10:15:00+00:00,0.023717511791566226,2,100080708.17311037,102454373.54931441,-0.11404040678555571
LITE,2022-10-21T12:15:00+00:00,2022-10-21T12:45:00+00:00,-0.009146622530538107,5,102454373.54931441,101517262.06785609,-0.1221439447619973
LITE,2022-11-02T19:45:00+00:00,2022-11-03T01:45:00+00:00,0.026841306754026517,2,101517262.06785609,104242118.03984831,-0.0985811410974744
LITE,2022-11-07T22:45:00+00:00,2022-11-08T03:45:00+00:00,0.2750808160451994,3,104242118.03984831,132917124.93652979,0.0
CRASH,2022-11-08T18:15:00+00:00,2022-11-08T19:15:00+00:00,0.13213779183400942,3,132917124.93652979,150480500.32256797,0.0
CRASH,2022-11-09T10:15:00+00:00,2022-11-09T21:15:00+00:00,0.30074698778380937,3,150480500.32256797,195737057.51478085,0.0
CRASH,2022-11-14T20:15:00+00:00,2022-11-15T07:15:00+00:00,-0.14963333955335745,1,195737057.51478085,166448267.9244966,-0.14963333955335745
LITE,2022-11-28T01:45:00+00:00,2022-11-28T02:15:00+00:00,0.007156179631403026,2,166448267.9244966,167639401.62910017,-0.14354796297864503
LITE,2022-12-16T09:15:00+00:00,2022-12-16T14:15:00+00:00,0.02781453974293302,2,167639401.62910017,172302214.42819428,-0.11972614375699864
LITE,2023-02-09T20:15:00+00:00,2023-02-09T22:15:00+00:00,0.009564512777465728,2,172302214.42819428,173950201.1596784,-0.11130675321129335
LITE,2023-03-09T19:15:00+00:00,2023-03-09T20:45:00+00:00,0.09304465800063721,3,173950201.1596784,190135338.13572273,-0.02861859399636224
LITE,2023-04-19T09:15:00+00:00,2023-04-21T17:15:00+00:00,0.0934740530465068,3,190135338.13572273,207908058.81863678,0.0
LITE,2023-07-14T18:15:00+00:00,2023-07-17T18:15:00+00:00,0.08319450145703433,4,207908058.81863678,225204866.12095302,0.0
LITE,2023-08-31T16:45:00+00:00,2023-09-01T14:45:00+00:00,0.3570431557116551,3,225204866.12095302,305612722.2023989,0.0
LITE,2023-09-01T18:15:00+00:00,2023-09-01T18:45:00+00:00,-0.1474342454688301,2,305612722.2023989,260554941.09881303,-0.1474342454688301
LITE,2023-10-06T13:15:00+00:00,2023-10-06T13:15:00+00:00,-0.025357913830914347,2,260554941.09881303,253947811.35421038,-0.16905353440742
LITE,2024-06-24T10:15:00+00:00,2024-06-24T13:45:00+00:00,0.005723679589278774,2,253947811.35421038,255401327.25880048,-0.16429746308252435
LITE,2024-06-24T20:15:00+00:00,2024-06-24T20:45:00+00:00,0.020992143653673523,2,255401327.25880048,260762748.6099561,-0.14675427537581343
LITE,2024-07-02T14:15:00+00:00,2024-07-03T03:15:00+00:00,0.1647891070009655,3,260762748.6099561,303733609.092508,-0.006148674362601914
LITE,2024-07-04T01:45:00+00:00,2024-07-04T13:15:00+00:00,0.3107661745958541,3,303733609.092508,398123740.88637924,0.0
CRASH,2024-07-05T03:15:00+00:00,2024-07-05T11:45:00+00:00,0.004955416504982324,2,398123740.88637924,400096609.8429929,0.0
CRASH,2024-08-05T01:15:00+00:00,2024-08-05T06:15:00+00:00,0.25282506707716634,3,400096609.8429929,501251062.06389445,0.0
CRASH,2024-08-05T11:45:00+00:00,2024-08-05T13:45:00+00:00,-0.09131556191962442,1,501251062.06389445,455479039.6687214,-0.09131556191962442
CRASH,2024-08-14T14:15:00+00:00,2024-08-15T12:15:00+00:00,0.00495327833714132,2,455479039.6687214,457735154.1289344,-0.08681459497718347
LITE,2024-11-01T16:15:00+00:00,2024-11-04T16:15:00+00:00,0.04194980260111647,4,457735154.1289344,476937053.4882348,-0.04850664749825573
LITE,2025-01-07T16:15:00+00:00,2025-01-08T16:45:00+00:00,0.09230530294918404,3,476937053.4882348,520960872.69815755,0.0
CRASH,2025-02-28T02:45:00+00:00,2025-02-28T09:15:00+00:00,0.023899441004095134,2,520960872.69815755,533411546.34064907,0.0
CRASH,2025-03-03T15:15:00+00:00,2025-03-04T01:15:00+00:00,0.29708539669791056,3,533411546.34064907,691880327.1885067,0.0
CRASH,2025-03-07T16:45:00+00:00,2025-03-09T21:45:00+00:00,0.2968550343580638,3,691880327.1885067,897268485.4877193,0.0
CRASH,2025-03-10T14:15:00+00:00,2025-03-11T07:15:00+00:00,0.00227941700363532,2,897268485.4877193,899313734.5303661,0.0
LITE,2025-07-15T15:15:00+00:00,2025-07-15T22:45:00+00:00,-0.045980122262117895,2,899313734.5303661,857963179.064658,-0.045980122262117784
LITE,2025-08-14T13:15:00+00:00,2025-08-17T13:15:00+00:00,0.035912855172070435,4,857963179.064658,888775086.4573762,-0.011718544561640898
LITE,2025-09-25T18:15:00+00:00,2025-09-28T18:15:00+00:00,-0.04993137471962228,4,888775086.4573762,844397324.5740083,-0.06106479624158723
LITE,2025-10-10T21:15:00+00:00,2025-10-10T21:15:00+00:00,0.09432532365712754,3,844397324.5740083,924045375.5096643,0.0
LITE,2025-10-30T05:15:00+00:00,2025-10-30T06:45:00+00:00,-0.05001448531177566,2,924045375.5096643,877829721.648822,-0.05001448531177566
CRASH,2025-11-20T17:15:00+00:00,2025-11-21T07:15:00+00:00,0.21682753165974966,3,877829721.648822,1068167373.4115012,0.0
